task,input,output,possible_outputs
sentence_similarity,Sentence 1: Stone notified Captain Lord. Sentence 2: He too notified Captain Lord.,3 - probably,
sentence_similarity,"Sentence 1: 18 killed, 108 wounded in wave of bombings in Iraq Sentence 2: 9 killed, 31 wounded in car bombs in Iraq's Kirkuk",1 - probably not,
sentence_similarity,Sentence 1: china is an important force for safeguarding world peace. Sentence 2: china is an important force for promoting world development.,3 - probably,
sentence_similarity,Sentence 1: A cheetah is running. Sentence 2: A cheetah is running across a field.,4 - almost perfectly,
sentence_similarity,Sentence 1: Chinese stocks close higher Thursday Sentence 2: Chinese stocks open mixed Wednesday,1 - probably not,
sentence_similarity,Sentence 1: Boy feeding a sheep. Sentence 2: A boy feeding a sheep hay.,4 - almost perfectly,
sentence_similarity,Sentence 1: 3 Chinese tourists killed in Pakistan Sentence 2: Seven kidnappers killed in southern Nigeria,0 - definitely not,
sentence_similarity,"Sentence 1: Nixon, Ford and Carter shut down the oilfields? Sentence 2: No has has shut down the oil fields.",2 - possibly,
sentence_similarity,Sentence 1: A steam engine and train moving toward the camera. Sentence 2: A large bird of prey flying towards the camera.,1 - probably not,
sentence_similarity,Sentence 1: A dog licks a baby. Sentence 2: A dog is licking a baby.,5 - perfectly,
sentence_similarity,Sentence 1: A man is chopping coriander leaf. Sentence 2: A man is playing a guitar.,1 - probably not,
sentence_similarity,Sentence 1: Amazon's Bezos to buy the Washington Post for $250 million Sentence 2: Amazon's Bezos buys Washington Post for $250-M,5 - perfectly,
sentence_similarity,Sentence 1: Man rowing a boat. Sentence 2: a man doing a trick on skateboard,0 - definitely not,
sentence_similarity,Sentence 1: Imagine a place that's % white and % black. Sentence 2: Imagine a place with % men and % women.,1 - probably not,
sentence_similarity,"Sentence 1: In Islamist-led Egypt, Coptic Church names new pope Sentence 2: Egyptian Christians choose new pope",3 - probably,
sentence_similarity,"Sentence 1: 6.3-magnitude quake hits Honshu, Japan: CENC Sentence 2: 6.7-magnitude earthquake jolts Taiwan: CENC",2 - possibly,
sentence_similarity,Sentence 1: A man is buttering bread. Sentence 2: A woman is ridint a horse.,0 - definitely not,
sentence_similarity,Sentence 1: A man is slicing a pepper. Sentence 2: A person cuts a big green pepper apart.,4 - almost perfectly,
sentence_similarity,Sentence 1: The man drilled holes into the wood. Sentence 2: A man drills wood.,4 - almost perfectly,
sentence_similarity,"Sentence 1: Hey, Blue-Eyes, How's things in London? Sentence 2: **smooches Ran** Hey, Blue-Eyes, How's things in London?",4 - almost perfectly,
sentence_similarity,Sentence 1: The boy is playing the piano. Sentence 2: A boy plays a piano.,5 - perfectly,
sentence_similarity,Sentence 1: Fire kills 38 in Russian psychiatric institution Sentence 2: 38 feared dead in Russian psychiatric hospital fire,4 - almost perfectly,
sentence_similarity,Sentence 1: Factory Fires Kill At Least 260 in Pakistan Sentence 2: At Least Six Dead in Pakistan Gunfight,1 - probably not,
sentence_similarity,Sentence 1: Google Unveils Prototype Self-Driving Car Sentence 2: Google Unveils Concept Self-Driving Car,5 - perfectly,
sentence_similarity,Sentence 1: A man is playing a flute. Sentence 2: A man is playing a piano.,2 - possibly,
sentence_similarity,Sentence 1: A man is praying. Sentence 2: A man is running.,1 - probably not,
sentence_similarity,Sentence 1: Facebook boosts size of IPO by 25pc to raise $15bn Sentence 2: Facebook boosts size of IPO by 25 percent,4 - almost perfectly,
sentence_similarity,Sentence 1: Someone is slicing tortila's. Sentence 2: Someone is riding a horse.,0 - definitely not,
sentence_similarity,"Sentence 1: Obama widens lead over Romney despite jobs data: Reuters/Ipsos poll Sentence 2: Romney takes lead over Obama with convention ""bounce"": Reuters/Ipsos poll",1 - probably not,
sentence_similarity,Sentence 1: HRW: Jordan biased against Palestinians from Syria Sentence 2: Jordan biased over Palestinians from Syria,4 - almost perfectly,
sentence_similarity,Sentence 1: A man is chopping a log with an axe. Sentence 2: A man is chopping a tree trunk with an axe.,4 - almost perfectly,
sentence_similarity,Sentence 1: A woman is riding an elephant. Sentence 2: A man is lifting himself.,0 - definitely not,
sentence_similarity,Sentence 1: Top Diplomats Meet in Munich at Critical Time Sentence 2: Top Diplomats Discuss Iran's Nuclear Program,2 - possibly,
sentence_similarity,Sentence 1: Syrian civil war in photos Sentence 2: Syrian civil war peace talks at risk from Iran invitation,1 - probably not,
sentence_similarity,Sentence 1: The lady cut up a potatoe. Sentence 2: A man is cutting a potato.,2 - possibly,
sentence_similarity,Sentence 1: A woman is slicing an onion. Sentence 2: A man is cutting and onion.,3 - probably,
sentence_similarity,Sentence 1: The seagull is floating on the water. Sentence 2: Large cruise ship floating on the water.,1 - probably not,
sentence_similarity,Sentence 1: The woman is frying a breaded pork chop. Sentence 2: A woman is cooking a breaded pork chop.,4 - almost perfectly,
sentence_similarity,Sentence 1: Witnesses hear 'loud booms' at Boston Marathon Sentence 2: Report of two explosions at finish line of Boston Marathon,3 - probably,
sentence_similarity,Sentence 1: Discipline against student gunman thought to have sparked Colorado shooting Sentence 2: Discipline against student thought to be key to motive,3 - probably,
sentence_similarity,Sentence 1: Obama signs up for Obamacare Sentence 2: Americans scramble to sign up for Obamacare by deadline,1 - probably not,
sentence_similarity,Sentence 1: you have no remains of a missile at the pentagon. Sentence 2: you have no witnesses for a missile at the pentagon.,3 - probably,
sentence_similarity,Sentence 1: Sierra Leone in Ebola lockdown Sentence 2: Sierra Leone Reaches Final Day of Ebola Lockdown,3 - probably,
sentence_similarity,Sentence 1: Police: Four killed in German hostage taking incident Sentence 2: Palestinians: 12 killed in IDF strike in northern Strip,1 - probably not,
sentence_similarity,Sentence 1: A person plays a keyboard. Sentence 2: Someone is playing a keyboard.,5 - perfectly,
sentence_similarity,Sentence 1: Venezuelan president to visit China Sentence 2: Senegalese president to visit China,2 - possibly,
sentence_similarity,Sentence 1: A man climbing a cliff face. Sentence 2: A man climbs a sheer cliff face.,5 - perfectly,
sentence_similarity,Sentence 1: CCTV of gunmen in Tunisia museum attack Sentence 2: 19 killed in Tunis museum attack,1 - probably not,
sentence_similarity,Sentence 1: Miss New York wins Miss America crown Sentence 2: Miss New York is crowned Miss America,5 - perfectly,
sentence_similarity,Sentence 1: The woman is leading a dog through an obstacle course. Sentence 2: Woman leading her small dog through an obstacle course.,5 - perfectly,
sentence_similarity,"Sentence 1: If they were Jews, I would call them Jews. Sentence 2: If they were Catholics, I would call them Catholics.",2 - possibly,
sentence_similarity,Sentence 1: Pakistani Taliban chief killed in US drone strike Sentence 2: Funeral for Pakistan Taliban chief 'set to take place',2 - possibly,
sentence_similarity,Sentence 1: UK Sky News cameraman killed in Egypt Sentence 2: Sky News Cameraman Killed In Egypt,5 - perfectly,
sentence_similarity,"Sentence 1: Israel agrees to extend Gaza truce by four hours Sentence 2: Israel, Hamas reportedly agree to 12-hour truce",3 - probably,
sentence_similarity,Sentence 1: Obama condemns killing of 3 Israeli teens Sentence 2: Bodies of missing Israeli teens found in West Bank,1 - probably not,
sentence_similarity,Sentence 1: A monkey is walking through the water. Sentence 2: A guy is playing a trumpet.,0 - definitely not,
sentence_similarity,"Sentence 1: 49 killed, 148 wounded in violent attacks in Iraq Sentence 2: 15 killed, 90 wounded in fresh attacks in Iraq",2 - possibly,
sentence_similarity,Sentence 1: South African icon Nelson Mandela hospitalized Sentence 2: South Africa's Nelson Mandela Hospitalized,5 - perfectly,
sentence_similarity,Sentence 1: Mandela released from hospital Sentence 2: Israeli president released from hospital,1 - probably not,
sentence_similarity,Sentence 1: A dog runs through the grass. Sentence 2: Two dogs run through the brush.,3 - probably,
sentence_similarity,Sentence 1: lol Looking forward to seeing your built-in's! Sentence 2: Look forward to seeing it!,2 - possibly,
sentence_similarity,Sentence 1: Barack Obama's bodyguards sent back to US after prostitution scandal Sentence 2: Barclays boss falls to rate fixing scandal,0 - definitely not,
sentence_similarity,Sentence 1: A woman is picking tomatoes. Sentence 2: A woman is pouring batter into a bowl.,1 - probably not,
sentence_similarity,Sentence 1: Someone is peeling a potato. Sentence 2: Someone is slicing a tomato.,1 - probably not,
sentence_similarity,Sentence 1: A man and a woman are different yes. Sentence 2: Men and women are different yes?,3 - probably,
sentence_similarity,Sentence 1: A lion is playing with people. Sentence 2: A lion is playing with two men.,3 - probably,
sentence_similarity,Sentence 1: White House in damage control over Obama Supreme Court remarks Sentence 2: Fact check: Obama's Supreme Court remarks,4 - almost perfectly,
sentence_similarity,Sentence 1: A baseball player throws the ball. Sentence 2: The basketball player holds the ball.,2 - possibly,
sentence_similarity,Sentence 1: Egypt votes in new constitution Sentence 2: Egyptians Vote On New Constitution,5 - perfectly,
sentence_similarity,Sentence 1: A man is slicing a bun. Sentence 2: A man is breaking pots.,0 - definitely not,
sentence_similarity,Sentence 1: Two dogs run side-by-side on the grass. Sentence 2: Two dogs running on grass.,4 - almost perfectly,
sentence_similarity,Sentence 1: A small boy is playing with a dog. Sentence 2: A baby is playing with a dog.,4 - almost perfectly,
sentence_similarity,"Sentence 1: Deaf customers sue Starbucks, say they're mocked Sentence 2: Deaf NY Starbucks patrons sue, say they're mocked",5 - perfectly,
sentence_similarity,Sentence 1: A black dog running through water. Sentence 2: A black dog is running through some water.,5 - perfectly,
sentence_similarity,Sentence 1: You purport to value life very heavily. Sentence 2: I purport to value human life very highly.,3 - probably,
sentence_similarity,Sentence 1: Headlines in major Iranian newspapers on Dec 30 Sentence 2: Headlines in major Iranian newspapers on July 6,2 - possibly,
sentence_similarity,Sentence 1: Some children are raising their hands and clapping. Sentence 2: Three children are playing soccer in the sand.,0 - definitely not,
sentence_similarity,Sentence 1: A man jumps off of one rooftop onto another. Sentence 2: A young man jumps from one balcony to another.,3 - probably,
sentence_similarity,Sentence 1: An Apple computer sitting on the floor. Sentence 2: A Macintosh computer sitting on the floor.,4 - almost perfectly,
sentence_similarity,Sentence 1: A man is playing a flute. Sentence 2: A man is playing a guitar.,2 - possibly,
sentence_similarity,"Sentence 1: If so, state that is why they're not true. Sentence 2: Please, what about them are not true.",3 - probably,
sentence_similarity,Sentence 1: Teenager and father killed in crash Sentence 2: Three killed in horror crash are named,2 - possibly,
sentence_similarity,Sentence 1: The black and white dog runs through the grass. Sentence 2: A black and white dog is running through grass.,5 - perfectly,
sentence_similarity,Sentence 1: Polling stations open at Ukrainian presidential election Sentence 2: Nominations open for e.TV Ghana Most Influential Awards,0 - definitely not,
sentence_similarity,Sentence 1: a group of old men walking down the street Sentence 2: A couple walking down the street.,2 - possibly,
sentence_similarity,Sentence 1: A passenger jet sits on a runway. Sentence 2: A large passenger jet flying close to the ground.,2 - possibly,
sentence_similarity,Sentence 1: president putin stated that russia would take countermeasures. Sentence 2: putin warned that russia would take retaliatory actions.,4 - almost perfectly,
sentence_similarity,Sentence 1: A person is slicing onions. Sentence 2: A person is peeling an onion.,3 - probably,
sentence_similarity,Sentence 1: A young woman dressed in black. Sentence 2: Two young kids dressed up sitting down on chairs.,0 - definitely not,
sentence_similarity,Sentence 1: Sudan blames Israel for Khartoum arms fire Sentence 2: Sudan accuses Israel of airstrike on arms factory,4 - almost perfectly,
sentence_similarity,Sentence 1: China stocks open higher Wednesday Sentence 2: US stocks open higher despite GDP miss,1 - probably not,
sentence_similarity,"Sentence 1: Israel green-lights 1500 settler homes Sentence 2: Israel unveils 1,800 more settler homes",3 - probably,
sentence_similarity,Sentence 1: N Korea test-fires 30 short-range missiles Sentence 2: N. Korea fires short-range missiles,3 - probably,
sentence_similarity,Sentence 1: Suicide bomber kills policeman in Pakistan Sentence 2: Suicide Bombers Kill 3 Soldiers in Pakistan,3 - probably,
sentence_similarity,"Sentence 1: 10 dead, five injured in SW China road accident Sentence 2: 1 dead, 39 injured in E China road accident",2 - possibly,
sentence_similarity,Sentence 1: A kitten is eating its food from a plate. Sentence 2: A kitten eats some food.,4 - almost perfectly,
sentence_similarity,Sentence 1: At least two Nato killed in Afghanistan helicopter crash: military Sentence 2: At least 18 killed in Afghan bomb attacks: officials,1 - probably not,
sentence_similarity,Sentence 1: Top Asian News at 2:30 p.m. GMT Sentence 2: Top Asian News 1:25 p.m. GMT,1 - probably not,
sentence_similarity,Sentence 1: A chicken is pecking at a dead mouse. Sentence 2: A rooster pecks at a dead mouse.,4 - almost perfectly,
sentence_similarity,Sentence 1: Several ferrets climb out of their cage. Sentence 2: Ferrets climb down from a shelf.,2 - possibly,
sentence_similarity,Sentence 1: Russian lawmakers pass new bill restricting Internet Sentence 2: Russia says ballistic 'objects' fired in Mediterranean,0 - definitely not,
sentence_similarity,Sentence 1: A woman is slicing an onion. Sentence 2: A women slicing lemons.,1 - probably not,
sentence_similarity,Sentence 1: Man is carrying a tool box down the sidewalk. Sentence 2: A woman is riding a blue bicycle in a park.,0 - definitely not,
sentence_similarity,Sentence 1: A man is playing a flute. Sentence 2: A man is playing a guitar.,2 - possibly,
sentence_similarity,Sentence 1: Obama made last-minute decision on Syria approval Sentence 2: Obama mulls limited military action in Syria,2 - possibly,
sentence_similarity,Sentence 1: Iraq army fights to retake Tikrit Sentence 2: Iraq army claims victory in Tikrit,3 - probably,
sentiment,Maryam is more timely now than ever.,positive,
sentiment,Psychologically savvy.,positive,
sentiment,Painfully padded.,negative,
sentiment,"A markedly inactive film, City is conversational bordering on confessional.",negative,
sentiment,My own minority report is that it stinks.,negative,
sentiment,"A smart, compelling drama.",positive,
sentiment,An almost unbearably morbid love story.,negative,
sentiment,This is one of the year's best films.,positive,
sentiment,An awkward hybrid of genres that just doesn't work.,negative,
sentiment,Competently directed but terminally cute drama.,positive,
sentiment,"Muddled, simplistic and more than a little pretentious.",negative,
sentiment,"Strange it is, but delightfully so.",positive,
sentiment,"An empty, purposeless exercise.",negative,
sentiment,Your children will be occupied for 72 minutes.,positive,
sentiment,It's not original enough.,negative,
sentiment,"A wonderful, ghastly film.",positive,
sentiment,"An inconsequential, barely there bit of piffle.",negative,
sentiment,Schneidermeister... Makin' a fool of himself... Losin' his fan base...,negative,
sentiment,To Blandly Go Where We Went 8 Movies Ago ...,negative,
sentiment,A well-crafted letdown.,negative,
sentiment,"Dense, exhilarating documentary.",positive,
sentiment,"Complex, sinuously plotted and, somehow, off-puttingly cold.",negative,
sentiment,A film without surprise geared toward maximum comfort and familiarity.,negative,
sentiment,The movie is as padded as Allen's jelly belly.,negative,
sentiment,It's quite diverting nonsense.,negative,
sentiment,He's the scariest guy you'll see all summer.,positive,
sentiment,Grating and tedious.,negative,
sentiment,Earnest and heartfelt but undernourished and plodding.,positive,
sentiment,Rarely has a film's title served such dire warning.,negative,
sentiment,"Boy, has this franchise ever run out of gas.",negative,
sentiment,"Without Shakespeare's eloquent language, the update is dreary and sluggish.",negative,
sentiment,Idiotic and ugly.,negative,
sentiment,The Scorpion King is more fun than Conan the Barbarian.,positive,
sentiment,Where the film falters is in its tone.,negative,
sentiment,About as big a crowdpleaser as they possibly come.,positive,
sentiment,"Reassuring, retro uplifter.",positive,
sentiment,A fifty car pileup of cliches.,negative,
sentiment,Consistently clever and suspenseful.,positive,
sentiment,"Entirely suspenseful, extremely well-paced and ultimately... dare I say, entertaining!",positive,
sentiment,Sex is one of those films that aims to confuse.,negative,
sentiment,A charmer from Belgium.,positive,
sentiment,Video games are more involving than this mess.,negative,
sentiment,Aan opportunity wasted.,negative,
sentiment,Every note rings false.,negative,
sentiment,"...an hour-and-a-half of inoffensive, unmemorable filler.",negative,
sentiment,"A witty, low-key romantic comedy.",positive,
sentiment,An alternately fascinating and frustrating documentary.,positive,
sentiment,A dazzling dream of a documentary.,positive,
sentiment,"This quiet, introspective and entertaining independent is worth seeking.",positive,
sentiment,"Despite the film's shortcomings, the stories are quietly moving.",positive,
sentiment,Manages to be wholesome and subversive at the same time.,positive,
sentiment,"Inventive, fun, intoxicatingly sexy, violent, self-indulgent and maddening.",positive,
sentiment,The writing is clever and the cast is appealing.,positive,
sentiment,This strenuously unfunny Showtime deserves the hook.,negative,
sentiment,"An enjoyable, if occasionally flawed, experiment.",positive,
sentiment,Quitting offers piercing domestic drama with spikes of sly humor.,positive,
sentiment,Fairly run-of-the-mill.,negative,
sentiment,Nicole Kidman makes it a party worth attending.,positive,
sentiment,Nearly every attempt at humor here is DOA.,negative,
sentiment,Smith finds amusing juxtapositions that justify his exercise.,positive,
sentiment,Chai's structure and pacing are disconcertingly slack.,negative,
sentiment,"It's mildly amusing, but I certainly can't recommend it.",negative,
sentiment,"It looks closely, insightfully at fragile, complex relationships.",positive,
sentiment,"It is bad, but certainly not without merit as entertainment.",negative,
sentiment,"Good, solid storytelling.",positive,
sentiment,Seems like someone going through the motions.,negative,
sentiment,"Cold, Sterile And Lacking Any Color Or Warmth.",negative,
sentiment,The film is insightful about Kissinger's background and history.,positive,
sentiment,An unsophisticated sci-fi drama that takes itself all too seriously.,negative,
sentiment,"Cold, nervy and memorable.",positive,
sentiment,Succeeds as a well-made evocation of a subculture.,positive,
sentiment,...a pretentious mess...,negative,
sentiment,"Definitely a crowd-pleaser, but then, so was the Roman Colosseum.",positive,
sentiment,Meandering and confusing.,negative,
sentiment,Black-and-white and unrealistic.,negative,
sentiment,A ragbag of cliches.,negative,
sentiment,"An amateurish, quasi-improvised acting exercise shot on ugly digital video.",negative,
sentiment,"An uplifting, near-masterpiece.",positive,
sentiment,"Too much power, not enough puff.",negative,
sentiment,Insufferably naive.,negative,
sentiment,Phoned-in business as usual.,negative,
sentiment,A slight but sweet film.,positive,
sentiment,"A so-so, made-for-TV something posing as a real movie.",negative,
sentiment,Funny and touching.,positive,
sentiment,"It looks good, but it is essentially empty.",negative,
sentiment,A modestly surprising movie.,positive,
sentiment,Gives an intriguing twist to the French coming-of-age genre.,positive,
sentiment,A film that loses sight of its own story.,negative,
sentiment,Bring on the sequel.,positive,
sentiment,Spiderman ROCKS,positive,
sentiment,"It's sweet, funny, charming, and completely delightful.",positive,
sentiment,The fetid underbelly of fame has never looked uglier.,negative,
sentiment,Plays like the old disease-of-the-week small-screen melodramas.,negative,
sentiment,"Nothing happens, and it happens to flat characters.",negative,
sentiment,There are moments of hilarity to be had.,positive,
sentiment,"It's fun, splashy and entertainingly nasty.",positive,
sentiment,Friday After Next is a lot more bluster than bite.,negative,
sentiment,A less-than-thrilling thriller.,negative,
sentiment,By-the-numbers yarn.,negative,
sentiment,A poignant comedy that offers food for thought.,positive,
sentiment,A real snooze.,negative,
sentiment,"There's back-stabbing, inter-racial desire and, most importantly, singing and dancing.",positive,
sentiment,"Twohy's a good yarn-spinner, and ultimately the story compels.",positive,
sentiment,"The script is smart, not cloying.",positive,
sentiment,"An ambitious, guilt-suffused melodrama crippled by poor casting.",negative,
sentiment,Full of surprises.,positive,
sentiment,Beautifully directed and convincingly acted.,positive,
sentiment,The code talkers deserved better than a hollow tribute.,negative,
sentiment,Director David Fincher and writer David Koepp can't sustain it.,negative,
sentiment,Exciting and well-paced.,positive,
sentiment,"A hypnotic portrait of this sad, compulsive life.",positive,
sentiment,Offers a guilt-free trip into feel-good territory.,positive,
sentiment,"A pale Xerox of other, better crime movies.",negative,
sentiment,Intriguing and downright intoxicating.,positive,
sentiment,The movie's blatant derivativeness is one reason it's so lackluster.,negative,
sentiment,A conventional but heartwarming tale.,positive,
sentiment,"About Schmidt is Nicholson's goofy, heartfelt, mesmerizing King Lear.",positive,
sentiment,The film oozes craft.,positive,
sentiment,Strange and beautiful film.,positive,
sentiment,The all-French cast is marveilleux.,positive,
sentiment,A processed comedy chop suey.,negative,
sentiment,Smarter than its commercials make it seem.,positive,
sentiment,And people make fun of me for liking Showgirls.,negative,
sentiment,"...a movie that, quite simply, shouldn't have been made.",negative,
sentiment,An extraordinary dramatic experience.,positive,
sentiment,A surprisingly funny movie.,positive,
sentiment,The mushy finale turns John Q into a movie-of-the-week tearjerker.,positive,
sentiment,...really horrible drek.,negative,
sentiment,Very predictable but still entertaining,positive,
sentiment,"Despite its faults, Gangs excels in spectacle and pacing.",positive,
sentiment,What a bewilderingly brilliant and entertaining movie this is.,positive,
sentiment,Delirious fun.,positive,
sentiment,A certain sexiness underlines even the dullest tangents.,positive,
sentiment,One of the most incoherent features in recent memory.,negative,
sentiment,Daring and beautifully made.,positive,
sentiment,A three-hour cinema master class.,positive,
sentiment,A lovely film for the holiday season.,positive,
sentiment,Caviezel embodies the transformation of his character completely.,positive,
sentiment,Gooding offers a desperately ingratiating performance.,negative,
sentiment,"A refreshingly realistic, affectation-free coming-of-age tale.",positive,
sentiment,Little more than a well-mounted history lesson.,negative,
sentiment,A cutesy romantic tale with a twist.,positive,
sentiment,"Some episodes work, some don't.",negative,
sentiment,Runs on the pure adrenalin of Pacino's performance.,positive,
sentiment,A good thriller.,positive,
sentiment,A domestic melodrama with weak dialogue and biopic cliches.,negative,
sentiment,"A terrific date movie, whatever your orientation.",positive,
sentiment,"A depraved, incoherent, instantly disposable piece of hackery.",negative,
sentiment,"Awesome work: ineffable, elusive, yet inexplicably powerful",positive,
sentiment,"This is a dark, gritty, sometimes funny little gem.",positive,
sentiment,Storytelling feels slight.,negative,
sentiment,It's depressing to see how far Herzog has fallen.,negative,
sentiment,Leaks treacle from every pore.,negative,
sentiment,"An awfully good, achingly human picture.",positive,
sentiment,"Exactly what its title implies: lusty, boisterous and utterly charming.",positive,
sentiment,A tone poem of transgression.,positive,
sentiment,An opportunity missed.,negative,
sentiment,The film is one of the year's best.,positive,
sentiment,Enriched by a strong and unforced supporting cast.,positive,
sentiment,Lacks dramatic punch and depth.,negative,
sentiment,"This is a movie full of grace and, ultimately, hope.",positive,
sentiment,Feeble comedy.,negative,
sentiment,Been there done that.,negative,
sentiment,Odd and weird.,negative,
sentiment,"An entertaining, if somewhat standardized, action movie.",positive,
sentiment,Collapses under its own meager weight.,negative,
sentiment,A technical triumph and an extraordinary bore.,negative,
sentiment,Intimate and panoramic.,positive,
sentiment,A backstage must-see for true fans of comedy.,positive,
sentiment,An undistinguished attempt to make a classic theater piece cinematic.,negative,
sentiment,plays like some corny television production from a bygone era,negative,
sentiment,One of the greatest films I've ever seen.,positive,
sentiment,"A brisk, reverent, and subtly different sequel.",positive,
sentiment,A small movie with a big impact.,positive,
sentiment,"Kitschy, flashy, overlong soap opera.",negative,
sentiment,Undoubtedly the scariest movie ever made about tattoos.,positive,
sentiment,Ear-splitting exercise in formula crash-and-bash action.,negative,
sentiment,"Sly, sophisticated and surprising.",positive,
sentiment,"A compelling yarn, but not quite a ripping one.",positive,
sentiment,Terrific casting and solid execution give all three stories life.,positive,
sentiment,The movie is a mess from start to finish.,negative,
sentiment,A forceful drama of an alienated executive who re-invents himself.,positive,
sentiment,Peppered with witty dialogue and inventive moments.,positive,
sentiment,The film is a verbal duel between two gifted performers.,positive,
sentiment,"A wild, endearing, masterful documentary.",positive,
sentiment,Lightweight but appealing.,positive,
sentiment,A solidly entertaining little film.,positive,
sentiment,Shallow.,negative,
sentiment,Too silly to take seriously.,negative,
sentiment,"An entertaining, if ultimately minor, thriller.",positive,
sentiment,The Hanukkah spirit seems fried in pork.,negative,
sentiment,Highly watchable stuff.,positive,
sentiment,A compelling story of musical passion against governmental odds.,positive,
sentiment,How this one escaped the Lifetime network I'll never know.,negative,
sentiment,A great companion piece to other Napoleon films.,positive,
sentiment,"A wry, affectionate delight.",positive,
sentiment,"A breezy blend of art, history, esoteric musings and philosophy.",positive,
sentiment,"The jokes are flat, and the action looks fake.",negative,
sentiment,A smart little indie.,positive,
sentiment,Terminally brain dead production.,negative,
singular_to_plural,synthesizer,synthesizers,
singular_to_plural,icon,icons,
singular_to_plural,prediction,predictions,
singular_to_plural,rocket,rockets,
singular_to_plural,beat,beats,
singular_to_plural,lane,lanes,
singular_to_plural,niece,nieces,
singular_to_plural,designation,designations,
singular_to_plural,pathway,pathways,
singular_to_plural,split,splits,
singular_to_plural,agent,agents,
singular_to_plural,blade,blades,
singular_to_plural,catalog,catalogs,
singular_to_plural,neighbourhood,neighbourhoods,
singular_to_plural,upgrade,upgrades,
singular_to_plural,motif,motifs,
singular_to_plural,party,parties,
singular_to_plural,expressway,expressways,
singular_to_plural,decline,declines,
singular_to_plural,date,dates,
singular_to_plural,colour,colours,
singular_to_plural,cast,casts,
singular_to_plural,whale,whales,
singular_to_plural,meditation,meditations,
singular_to_plural,pool,pools,
singular_to_plural,builder,builders,
singular_to_plural,sense,senses,
singular_to_plural,expedition,expeditions,
singular_to_plural,grip,grips,
singular_to_plural,level,levels,
singular_to_plural,pardon,pardons,
singular_to_plural,drought,droughts,
singular_to_plural,slot,slots,
singular_to_plural,fraternity,fraternities,
singular_to_plural,harbour,harbours,
singular_to_plural,highlight,highlights,
singular_to_plural,coast,coasts,
singular_to_plural,myth,myths,
singular_to_plural,uncle,uncles,
singular_to_plural,athlete,athletes,
singular_to_plural,revelation,revelations,
singular_to_plural,knife,knives,
singular_to_plural,case,cases,
singular_to_plural,deficit,deficits,
singular_to_plural,thickness,thicknesses,
singular_to_plural,scratch,scratches,
singular_to_plural,expose,exposes,
singular_to_plural,capability,capabilities,
singular_to_plural,certification,certifications,
singular_to_plural,zoo,zoos,
singular_to_plural,syndrome,syndromes,
singular_to_plural,wicket,wickets,
singular_to_plural,accompany,accompanies,
singular_to_plural,invitation,invitations,
singular_to_plural,rule,rules,
singular_to_plural,programme,programmes,
singular_to_plural,bit,bits,
singular_to_plural,teacher,teachers,
singular_to_plural,chairman,chairmen,
singular_to_plural,habit,habits,
singular_to_plural,boot,boots,
singular_to_plural,sparrow,sparrows,
singular_to_plural,placement,placements,
singular_to_plural,metaphor,metaphors,
singular_to_plural,organ,organs,
singular_to_plural,chain,chains,
singular_to_plural,advantage,advantages,
singular_to_plural,curve,curves,
singular_to_plural,consideration,considerations,
singular_to_plural,overlap,overlaps,
singular_to_plural,slip,slips,
singular_to_plural,dose,doses,
singular_to_plural,semester,semesters,
singular_to_plural,debut,debuts,
singular_to_plural,afford,affords,
singular_to_plural,sympathy,sympathies,
singular_to_plural,sortie,sorties,
singular_to_plural,transit,transits,
singular_to_plural,captain,captains,
singular_to_plural,prize,prizes,
singular_to_plural,oak,oaks,
singular_to_plural,mutation,mutations,
singular_to_plural,statue,statues,
singular_to_plural,breakdown,breakdowns,
singular_to_plural,trend,trends,
singular_to_plural,villain,villains,
singular_to_plural,target,targets,
singular_to_plural,tune,tunes,
singular_to_plural,dress,dresses,
singular_to_plural,stream,streams,
singular_to_plural,explosion,explosions,
singular_to_plural,neighbor,neighbors,
singular_to_plural,assassination,assassinations,
singular_to_plural,creature,creatures,
singular_to_plural,campaign,campaigns,
singular_to_plural,switch,switches,
singular_to_plural,peer,peers,
singular_to_plural,descendant,descendants,
singular_to_plural,latitude,latitudes,
singular_to_plural,way,ways,
singular_to_plural,competitor,competitors,
singular_to_plural,phone,phones,
singular_to_plural,naturalist,naturalists,
singular_to_plural,salmon,salmon,
singular_to_plural,experiment,experiments,
singular_to_plural,citation,citations,
singular_to_plural,seat,seats,
singular_to_plural,accent,accents,
singular_to_plural,plan,plans,
singular_to_plural,temperature,temperatures,
singular_to_plural,disk,disks,
singular_to_plural,mouth,mouths,
singular_to_plural,indication,indications,
singular_to_plural,dock,docks,
singular_to_plural,channel,channels,
singular_to_plural,principle,principles,
singular_to_plural,massacre,massacres,
singular_to_plural,counterpart,counterparts,
singular_to_plural,memory,memories,
singular_to_plural,capsule,capsules,
singular_to_plural,boost,boosts,
singular_to_plural,politician,politicians,
singular_to_plural,persuade,persuades,
singular_to_plural,burn,burns,
singular_to_plural,resemble,resembles,
singular_to_plural,squad,squads,
singular_to_plural,triumph,triumphs,
singular_to_plural,commence,commences,
singular_to_plural,sediment,sediments,
singular_to_plural,cannon,cannons,
singular_to_plural,freshman,freshmen,
singular_to_plural,discovery,discoveries,
singular_to_plural,jacket,jackets,
singular_to_plural,election,elections,
singular_to_plural,governor,governors,
singular_to_plural,statement,statements,
